what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495708105638
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495708132060
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495708140559
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495708142788
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495708144588
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495708146630
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495708148229
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495708152128
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1495708154191
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495708157285
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495708157340
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1495708173906
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1495708186305
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1495708192702
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495708202152
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495708204406
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.3.v201011040143,"org.eclipse.wst.jsdt.debug.ui",1495708216787
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495708218385
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495708219420
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1495708219428
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495708219709
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495708220022
started,bundle,org.eclipse.wst.html.core,1.1.404.v201101190004,"org.eclipse.wst.html.core",1495708223170
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1495708223494
started,bundle,org.eclipse.wst.css.core,1.1.402.v201102031915,"org.eclipse.wst.css.core",1495708223552
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1495708225078
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1495708225947
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495708246454
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495708288230
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495708293053
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495708301971
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495708331128
started,bundle,net.sf.jadclipse,3.3.0,"net.sf.jadclipse",1495708368128
opened,editor,net.sf.jadclipse,3.3.0,"net.sf.jadclipse.JadclipseClassFileEditor",1495708368203
activated,editor,net.sf.jadclipse,3.3.0,"net.sf.jadclipse.JadclipseClassFileEditor",1495708368274
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.open.editor",1495708368310
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1495708374881
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.linkWithEditor",1495708375082
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.linkWithEditor",1495708381871
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.linkWithEditor",1495708382573
activated,editor,net.sf.jadclipse,3.3.0,"net.sf.jadclipse.JadclipseClassFileEditor",1495708395847
